deviceName,node,productId,uptime,match
sec-hgo-revolucionp-23,node0_4_CPU0,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_3_CPU0,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_RP1_CPU0,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_RP0_CPU0,CRS1-SIP-800,2:8:3:3,NA
sec-hgo-revolucionp-23,node0_0_CPU0,CRS1-SIP-800,2:8:3:3,NA
sec-tab-paseo-29,node0_RP1_CPU0,4X100GE-LO,2:8:3:0,NA
vpn-mex-ctsj-77,node0_6_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_5_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_4_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_3_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_2_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_1_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_0_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-ctsj-77,node0_RSP0_CPU0,A9K-RSP880-SE,2:8:1:6,IMPACTO_Agosto: A9K-MOD80-SE
vpn-mex-vallejo-78,node0_5_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_4_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_3_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_2_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_1_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_0_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_RSP1_CPU0,SFP-10G-LR-S,2:8:0:5,NA
vpn-mex-vallejo-78,node0_RSP0_CPU0,SFP-10G-LR-S,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_SM3_SP,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_SM0_SP,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_SM1_SP,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_7_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_0_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_RP1_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_RP0_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_5_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-bcs-snjosecabo-19,node0_2_CPU0,14X10GBE-WL-XFP,2:8:0:5,NA
sec-son-obregon-24,node0_SM3_SP,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_SM2_SP,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_SM0_SP,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_SM1_SP,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_4_CPU0,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_2_CPU0,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_0_CPU0,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_RP1_CPU0,14X10GBE-WL-XFP,2:7:3:3,NA
sec-son-obregon-24,node0_RP0_CPU0,14X10GBE-WL-XFP,2:7:3:3,NA
sec-mch-zamora-16,node0_SM3_SP,14X10GBE-WL-XFP,2:7:2:6,NA
sec-dgo-zarco-17,node0_RP1_CPU0,14X10GBE-WL-XFP,2:7:0:1,NA
vpn-mex-nextengo-95,node0_5_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_4_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_3_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_2_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_1_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_0_CPU0,SFP-10G-LR-S,2:6:1:6,NA
vpn-mex-nextengo-95,node0_RSP1_CPU0,SFP-10G-LR-S,2:6:1:6,NA
sec-col-ctc-24,node0_SM0_SP,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_SM2_SP,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_SM3_SP,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_SM1_SP,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_6_CPU0,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_RP0_CPU0,4X100GE-LO,2:5:4:0,NA
sec-col-ctc-24,node0_0_CPU0,4X100GE-LO,2:5:4:0,NA
sec-sin-losmochis-18,node0_SM1_SP,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_SM2_SP,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_SM0_SP,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_SM3_SP,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_3_CPU0,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_RP1_CPU0,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_RP0_CPU0,4X100GE-LO,2:5:3:6,NA
sec-sin-losmochis-18,node0_0_CPU0,4X100GE-LO,2:5:3:6,NA
vpn-nvl-triara-35,node0_3_CPU0,A9K-RSP440-SE,2:5:2:0,NA
vpn-nvl-triara-35,node0_2_CPU0,A9K-RSP440-SE,2:5:2:0,NA
