deviceName,node,productId,uptime,Impact,match
sec-son-obregon-24,node0_2_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_0_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_RP1_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-son-obregon-24,node0_RP0_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-mch-zamora-16,node0_SM3_SP,14X10GBE-WL-XFP,2y:7w,NA,NA
sec-dgo-zarco-17,node0_RP1_CPU0,14X10GBE-WL-XFP,2y:7w,NA,NA
vpn-mex-nextengo-95,node0_5_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_4_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_3_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_2_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_1_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_0_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
vpn-mex-nextengo-95,node0_RSP1_CPU0,SFP-10G-LR-S,2y:6w,NA,NA
sec-col-ctc-24,node0_SM0_SP,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_SM2_SP,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_SM3_SP,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_SM1_SP,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_6_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_RP0_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-col-ctc-24,node0_0_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_SM1_SP,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_SM2_SP,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_SM0_SP,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_SM3_SP,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_3_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_RP1_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_RP0_CPU0,4X100GE-LO,2y:5w,NA,NA
sec-sin-losmochis-18,node0_0_CPU0,4X100GE-LO,2y:5w,NA,NA
vpn-nvl-triara-35,node0_3_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
vpn-nvl-triara-35,node0_2_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
vpn-nvl-triara-35,node0_1_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
vpn-nvl-triara-35,node0_0_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
vpn-nvl-triara-35,node0_RSP1_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
vpn-nvl-triara-35,node0_RSP0_CPU0,A9K-RSP440-SE,2y:5w,NA,NA
sec-tam-anaya-14,node0_RP0_CPU0,CPAK-100G-LR4,2y:4w,NA,NA
vpn-mex-nextengo-95,node0_RSP0_CPU0,SFP-10G-LR-S,2y:4w,NA,NA
sec-mch-uruapan-17,node0_2_CPU0,14X10GBE-WL-XFP,2y:4w,NA,NA
sec-mch-uruapan-21,node0_2_CPU0,14X10GBE-WL-XFP,2y:4w,NA,NA
sec-bcn-bahiaensenad-4,node0_SM2_SP,4X100GE-LO,2y:4w,NA,NA
